category,tools
programming_languages,Python
programming_languages,Java
programming_languages,JavaScript
programming_languages,C#
programming_languages,R
programming_languages,C
programming_languages,C++
programming_languages,Scala
programming_languages,MATLAB
programming_languages,Perl
programming_languages,Go
programming_languages,TypeScript
programming_languages,HTML
programming_languages,CSS
programming_languages,PHP
programming_languages,Powershell
programming_languages,Rust
programming_languages,Kotlin
programming_languages,Ruby
programming_languages,Dart
programming_languages,Assembly
programming_languages,Swift
programming_languages,VBA
programming_languages,Lua
programming_languages,Groovy
programming_languages,Delphi
programming_languages,Objective-C
programming_languages,Haskell
programming_languages,Elixir
programming_languages,Julia
programming_languages,Clojure
programming_languages,Solidity
programming_languages,Lisp
programming_languages,F#
programming_languages,Fortran
programming_languages,Erlang
programming_languages,APL
programming_languages,COBOL
programming_languages,OCaml
programming_languages,Crystal
programming_languages,Visual Basic
programming_languages,Pascal
programming_languages,Golang
databases,SQL
databases,MongoDB
databases,Redshift
databases,Snowflake
databases,NoSQL
databases,T-SQL
databases,PostgreSQL
databases,MSSQL
data_visualization_tools,Tableau
data_visualization_tools,Power BI
data_visualization_tools,Qlik
data_visualization_tools,Seaborn
data_visualization_tools,MicroStrategy
data_visualization_tools,Cognos
big_data_technologies,Hadoop
big_data_technologies,Spark
big_data_technologies,Apache Airflow
big_data_technologies,Kafka
big_data_technologies,Hive
big_data_technologies,Pig
big_data_technologies,HBase
big_data_technologies,Cassandra
big_data_technologies,Flink
development_tools,Git
development_tools,Bash
development_tools,Atlassian
development_tools,JIRA
development_tools,Confluence
development_tools,Subversion
development_tools,Mercurial
development_tools,Vim
development_tools,Emacs
cloud,AWS
cloud,Azure
cloud,GCP
cloud,IBM Cloud
cloud,Oracle Cloud
cloud,Salesforce
statistical__tools,SPSS
statistical__tools,SAS
statistical__tools,Stata
statistical__tools,Alteryx
