district_id,district_name_ch,district_name_eng,county
"1,001,702",基隆市七堵區,Cidu District,1
"1,001,705",基隆市中山區,Jhongshan District,1
"1,001,701",基隆市中正區,Jhongjhen District,1
"1,001,704",基隆市仁愛區,Ren-ai District,1
"1,001,706",基隆市安樂區,Anle District,1
"1,001,707",基隆市信義區,Sinyi District,1
"1,001,703",基隆市暖暖區,Nuannuan Distric,1
"6,301,100",台北市士林區,Shihlin District,2
"6,300,600",台北市大同區,Datong District,2
"6,300,300",台北市大安區,Da-an District,2
"6,300,400",台北市中山區,Jhongshan District,2
"6,300,500",台北市中正區,Jhongjhen District,2
"6,301,000",台北市內湖區,Neihu District,2
"6,300,800",台北市文山區,Wunshan District,2
"6,301,200",台北市北投區,Beitou District,2
"6,300,100",台北市松山區,Songshan District,2
"6,300,200",台北市信義區,Sinyi District,2
"6,300,900",台北市南港區,Nangang District,2
"6,300,700",台北市萬華區,Wanhua District,2
"6,502,300",新北市八里區,Bali District,3
"6,502,100",新北市三芝區,Sanjhih District,3
"6,500,200",新北市三重區,Sanchong District,3
"6,500,900",新北市三峽區,Sansia District,3
"6,501,300",新北市土城區,Tucheng District,3
"6,500,300",新北市中和區,Jhonghe District,3
"6,501,500",新北市五股區,Wugu District,3
"6,502,400",新北市平溪區,Pingsi District,3
"6,500,400",新北市永和區,Yonghe District,3
"6,502,200",新北市石門區,Shihmen District,3
"6,501,900",新北市石碇區,Shihding District,3
"6,501,100",新北市汐止區,Sijhih District,3
"6,502,000",新北市坪林區,Pinglin District,3
"6,500,100",新北市板橋區,Banciao District,3
"6,501,700",新北市林口區,Linkou District,3
"6,502,700",新北市金山區,Jinshan District,3
"6,501,600",新北市泰山區,Taishan District,3
"6,502,900",新北市烏來區,Wulai District,3
"6,502,600",新北市貢寮區,Gongliao District,3
"6,501,000",新北市淡水區,Danshuei District,3
"6,501,800",新北市深坑區,Shenkeng District,3
"6,500,600",新北市新店區,Sindian District,3
"6,500,500",新北市新莊區,Sinjhuang District,3
"6,501,200",新北市瑞芳區,Rueifang District,3
"6,502,800",新北市萬里區,Wanli District,3
"6,500,700",新北市樹林區,Shulin District,3
"6,502,500",新北市雙溪區,Shuangsi District,3
"6,501,400",新北市蘆洲區,Lujhou District,3
"6,500,800",新北市鶯歌區,Yingge District,3
"6,800,800",桃園市八德區,Bade District,4
"6,800,600",桃園市大園區,Dayuan District,4
"6,800,300",桃園市大溪區,Dasi District,4
"6,800,200",桃園市中壢區,Jhongli District,4
"6,801,000",桃園市平鎮區,Pingjhen District,4
"6,800,100",桃園市桃園區,Taoyuan District,4
"6,801,300",桃園市復興區,Fusing District,4
"6,801,100",桃園市新屋區,Sinwu District,4
"6,800,400",桃園市楊梅區,Yangmei District,4
"6,800,900",桃園市龍潭區,Longtan District,4
"6,800,700",桃園市龜山區,Gueishan District,4
"6,800,500",桃園市蘆竹區,Lujhu District,4
"6,801,200",桃園市觀音區,Guanyin District,4
"1,001,802",新竹市北區,North District,5
"1,001,801",新竹市東區,East District,5
"1,001,803",新竹市香山區,Siangshan District,5
"1,000,413",新竹縣五峰鄉,Wufong Township,6
"1,000,409",新竹縣北埔鄉,Beipu Township,6
"1,000,412",新竹縣尖石鄉,Jianshih Township,6
"1,000,401",新竹縣竹北市,Jhubei City,6
"1,000,402",新竹縣竹東鎮,Jhudong Township,6
"1,000,407",新竹縣芎林鄉,Cyonglin Township,6
"1,000,411",新竹縣峨眉鄉,Emei Township,6
"1,000,405",新竹縣湖口鄉,Hukou Township,6
"1,000,403",新竹縣新埔鎮,Sinpu Township,6
"1,000,406",新竹縣新豐鄉,Sinfong Township,6
"1,000,408",新竹縣橫山鄉,Hengshan Township,6
"1,000,404",新竹縣關西鎮,Guansi Township,6
"1,000,410",新竹縣寶山鄉,Baoshan Township,6
"1,000,513",苗栗縣三義鄉,Sanyi Township,7
"1,000,516",苗栗縣三灣鄉,Sanwan Township,7
"1,000,508",苗栗縣大湖鄉,Dahu Township,7
"1,000,509",苗栗縣公館鄉,Gongguan Township,7
"1,000,504",苗栗縣竹南鎮,Jhunan Township,7
"1,000,514",苗栗縣西湖鄉,Sihu Township,7
"1,000,507",苗栗縣卓蘭鎮,Jhuolan Township,7
"1,000,511",苗栗縣南庄鄉,Nanjhuang Township,7
"1,000,506",苗栗縣後龍鎮,Houlong Township,7
"1,000,502",苗栗縣苑裡鎮,Yuanli Township,7
"1,000,501",苗栗縣苗栗市,Miaoli City,7
"1,000,518",苗栗縣泰安鄉,Tai-an Township,7
"1,000,503",苗栗縣通霄鎮,Tongsiao Township,7
"1,000,515",苗栗縣造橋鄉,Zaociao Township,7
"1,000,517",苗栗縣獅潭鄉,"Shihtan Township
",7
"1,000,510",苗栗縣銅鑼鄉,Tongluo Township,7
"1,000,505",苗栗縣頭份市,Toufen Township,7
"1,000,512",苗栗縣頭屋鄉,Touwu Township,7
"6,601,100",台中市大甲區,Dajia District,8
"6,602,200",台中市大安區,Da-an District,8
